04.02.2025 20:42:51 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_PELE_corrige.pdf
04.02.2025 20:42:52 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_PELE_donnee.pdf
04.02.2025 20:42:53 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_TLM_corrige.pdf
04.02.2025 20:42:53 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_TLM_donnee.pdf
04.02.2025 20:42:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_ELM_corrige.pdf
04.02.2025 20:42:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_ELM_donnee.pdf
04.02.2025 20:42:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_IEL_corrige.pdf
04.02.2025 20:42:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_IEL_donnee.pdf
04.02.2025 20:42:54 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_PELE_corrige.pdf
04.02.2025 20:42:55 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_PELE_donnee.pdf
04.02.2025 20:42:55 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_TLM_corrige.pdf
04.02.2025 20:42:55 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_TLM_donnee.pdf
04.02.2025 20:42:56 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTno_ELM_corrige.pdf
04.02.2025 20:42:56 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTno_ELM_donnee.pdf
04.02.2025 20:42:56 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTno_IEL_corrige.pdf
