04.02.2025 13:02:32 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTpl_ELM_donnee.pdf
04.02.2025 13:02:32 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTpl_IEL_corrige.pdf
04.02.2025 13:02:33 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTpl_IEL_donnee.pdf
04.02.2025 13:02:33 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTsc_ELM_corrige.pdf
04.02.2025 13:02:33 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTsc_ELM_donnee.pdf
04.02.2025 13:02:33 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTsc_IEL_corrige.pdf
04.02.2025 13:02:34 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTsc_IEL_donnee.pdf
04.02.2025 13:02:34 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DT_PELE_corrige.pdf
04.02.2025 13:02:35 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DT_PELE_donnee.pdf
04.02.2025 13:02:35 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DT_TLM_corrige.pdf
04.02.2025 13:02:36 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DT_TLM_donnee.pdf
04.02.2025 13:02:36 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TC_IEL_corrige.pdf
04.02.2025 13:02:36 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TC_IEL_donnee.pdf
04.02.2025 13:02:36 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TC_PELE_corrige.pdf
04.02.2025 13:02:37 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TC_PELE_donnee.pdf
04.02.2025 13:02:37 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TR_TLM_corrige.pdf
04.02.2025 13:02:37 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TR_TLM_donnee.pdf
04.02.2025 13:02:38 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_ELM_corrige.pdf
04.02.2025 13:02:38 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_ELM_donnee.pdf
04.02.2025 13:02:38 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_IEL_corrige.pdf
04.02.2025 13:02:39 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_IEL_donnee.pdf
04.02.2025 13:02:39 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_PELE_corrige.pdf
04.02.2025 13:02:40 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_PELE_donnee.pdf
04.02.2025 13:02:40 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_TLM_corrige.pdf
04.02.2025 13:02:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_TLM_donnee.pdf
04.02.2025 13:02:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_zero_DTno_ELM_corrige.pdf
04.02.2025 13:02:43 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_zero_DTno_ELM_donnee.pdf
04.02.2025 13:02:43 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_zero_DTno_IEL_corrige.pdf
